Radio Hex Data Log - COM7 @ 115200 baud
Started: 2026-01-05 17:12:02
[2026-01-05 17:16:28.641] 81110017e08849000a8100000000000b800096e085f85f68
[2026-01-05 17:16:29.231] 81110011e0882b00088100000000001680009fc8b13c0578
[2026-01-05 17:16:29.807] 8111000be0884900058100000000002403002de0882943ae
[2026-01-05 17:16:31.714] 81110013e0884900048100000000001680009bc8b1755f03
[2026-01-05 17:16:32.123] 81110018e0882b00098100000000002012205ce088335f32
[2026-01-05 17:16:33.645] 81110014e0884900108141af33330017821010c8af2b5799
[2026-01-05 17:16:35.180] 81110016e088490016810000000008270680ccc8b1bc3986
[2026-01-05 17:16:35.717] 81110015e088490017810000000008270680cdc8b1bc0a59
[2026-01-05 17:16:36.841] 81110017e0884900148140c0000020270780e3c8b1bc2da8
[2026-01-05 17:16:38.961] 81110017e0882b000f81000000000824060042e087e92074
[2026-01-05 17:16:40.344] 81110014e0882b000e810000000008178600b4c8b15c5f1c
[2026-01-05 17:16:43.262] 81110017e0882b000d8100000000082306003fc8afc0255a
[2026-01-05 17:16:49.551] 81110014e0882b000281000000000015800098c8b14c5fd4
[2026-01-05 17:16:53.144] 81110014e0882b00078100000000002303002ec8ae905f41
[2026-01-05 17:16:59.775] 81110013e088490001810000
[2026-01-05 17:16:59.796] 00000021010024c8aeba4b43
[2026-01-05 17:17:12.294] 81110014e0882b000b8100000000002300002fe088355fda
[2026-01-05 17:17:15.874] 81110016e08849000c8100000000100b8600aec8b2175fcc
[2026-01-05 17:17:25.016] 81110017e088
[2026-01-05 17:17:25.037] 4900058100000000002403002de0882941ac
[2026-01-05 17:17:26.484] 8111000de0882b00098100000000
[2026-01-05 17:17:26.505] 002112205de088335f34
[2026-01-05 17:17:27.418] 81110003e0882b0006810000000010178600b4c8b1795c36
[2026-01-05 17:17:28.471] 8111000fe08849000a8100000000000b800096e085f8525b
[2026-01-05 17:17:29.939] 81110015e0882b00088100000000001680009fc8b13c1487
[2026-01-05 17:17:31.775] 81110016e088490004810000000000
[2026-01-05 17:17:31.796] 1680009bc8b1755f03
[2026-01-05 17:17:32.645] 81110017e0882b000f81000000000824060042e087e92074
[2026-01-05 17:17:33.379] 8111000be0884900108141af33330017821010c8af2b4b8d
[2026-01-05 17:17:33.936] 81110016e0884900
[2026-01-05 17:17:33.947] 16810000000008270680ccc8b1bc2f7c
[2026-01-05 17:17:34.702] 81110015e088490017810000000008270680cdc8b1bc3e8d
[2026-01-05 17:17:35.292] 81110013e0884900148140c0000020270780e3c8b1bc37b2
[2026-01-05 17:17:40.542] 8111
[2026-01-05 17:17:40.552] 0015e0882b000e810000000008178600b4c8b15c5f1c
[2026-01-05 17:17:41.539] 81110015e0882b000d8100000000082306003fc8afc03c71
[2026-01-05 17:17:45.380] 8111001be0882b0007813f80
[2026-01-05 17:17:45.401] 000000230300edc8ae905fbf
[2026-01-05 17:17:50.148] 81110013e0882b000281000000000015800098c8b14c4dc2
[2026-01-05 17:18:00.483] 8111000be08849000181000000000020010023c8aeba483e
[2026-01-05 17:18:07.265] 8111001b
[2026-01-05 17:18:07.275] e0882b000b8100000000002300002fe088355fda
[2026-01-05 17:18:15.975] 8111000fe08849000c8100000000100b8600aec8b21752bf
[2026-01-05 17:18:20.974] 81110014e0882b00098100000000002012205c
[2026-01-05 17:18:20.995] e088335f32
[2026-01-05 17:18:27.103] 81110010e0882b000f81000000000824060042e087e9196d
[2026-01-05 17:18:27.533] 81110015e0882b0006810000000010178600b4c8b1795a34
[2026-01-05 17:18:28.761] 81110017e08849000a8100000000000b800096e085f85f68
[2026-01-05 17:18:29.655] 8111000de0882b00088100000000001680009fc8b13c1689
[2026-01-05 17:18:31.578] 81110013e0884900048100000000001680009bc8b1755f03
[2026-01-05 17:18:32.934] 81110017e088490016810000000008270680ccc8b1bc2f7c
[2026-01-05 17:18:33.333] 81110015e08849
[2026-01-05 17:18:33.354] 00108141af33330017821010c8af2b5fa1
[2026-01-05 17:18:34.163] 8111000ae088490017810000000008270680cdc8b1bc2372
[2026-01-05 17:18:34.825] 8111000fe0884900148140c0000020270780e3c8b1bc239e
[2026-01-05 17:18:35.684] 81110014e0882b000d8100000000082306003fc8afc0376c
[2026-01-05 17:18:40.305] 81110012e0882b00078100000000002303002ec8ae905f41
[2026-01-05 17:18:40.914] 81110016e0882b000e810000000008178600b4c8b15c5f1c
[2026-01-05 17:18:50.544] 811100ffe0882b000281000000000015800098c8b14c46bb
[2026-01-05 17:18:59.265] 81110010e088490001810000000000
[2026-01-05 17:18:59.276] 20010023c8aeba463c
[2026-01-05 17:19:02.824] 81110002e0882b000b8100000000002300002fe088355fda
[2026-01-05 17:19:13.761] 81110003e088490005813f80000000240300ece088294831
[2026-01-05 17:19:15.879] 81110014e08849000c
[2026-01-05 17:19:15.900] 8100000000100b8600aec8b2174bb8
[2026-01-05 17:19:16.058] 81110010e0882b00098100000000002012205ce088335f32
[2026-01-05 17:19:20.905] 8111001ae0882b000f810000
[2026-01-05 17:19:20.915] 00000824060042e087e92d81
[2026-01-05 17:19:27.701] 81110014e0882b0006810000000010178600b4c8b1794d27
[2026-01-05 17:19:28.580] 81110016e08849000a8100000000000b800096e085f8525b
[2026-01-05 17:19:29.683] 811100ffe0882b00088100000000001680009fc8b13c2396
[2026-01-05 17:19:31.609] 81110017e0884900048100000000001680009bc8b1755f03
[2026-01-05 17:19:31.777] 81110010e0882b000d8100000000082306003fc8afc03267
[2026-01-05 17:19:32.218] 81110017e088490016810000000008270680ccc8b1bc3986
[2026-01-05 17:19:32.890] 81110008e0882b0007813f80000000230300edc8ae905fbf
[2026-01-05 17:19:33.048] 811100fce088490017810000000008270680cdc8b1bc3281
[2026-01-05 17:19:33.163] 81110017e0884900108141af33330017821010c8af2b5fa1
[2026-01-05 17:19:33.436] 8111000fe0884900148140c0000020270780e3c8b1bc1e99
[2026-01-05 17:19:41.038] 8111000de0882b000e810000000008178600b4c8b15c5f1c
[2026-01-05 17:19:51.436] 81110011e0882b000281000000000015800098c8b14c5cd1
[2026-01-05 17:19:57.153] 81110010e08849000181000000000020010023c8aeba3c32
[2026-01-05 17:19:57.647] 81110009e0882b000b8100000000002300002fe088355fda
[2026-01-05 17:20:08.489] 811100fee088490005813f80000000240300ece088293e27
[2026-01-05 17:20:09.139] 81110011e0882b00098100000000002012205ce088335f32
[2026-01-05 17:20:15.524] 81110015e0882b000f81000000000824060042e087e92377
[2026-01-05 17:20:15.966] 81110016e08849000c8100000000100b8600aec8b2175fcc
[2026-01-05 17:20:25.882] 81110014e0882b0007813f80000000230300edc8ae905fbf
[2026-01-05 17:20:27.633] 81110011e0882b0006810000000010178600b4c8b1794822
[2026-01-05 17:20:27.896] 81110011e0882b000d8100000000082306003fc8afc03c71
[2026-01-05 17:20:28.337] 81110017e08849000a8100000000000b800096e085f85760
