"Register Address
(Hexadecimal)"	Register Address (Decimal)	"

Data Description"				"

R/W"	Length (In Bits)
DB	219	Channel 27 Sec Since Last Message				R	16
DC	220	Channel 28 Sec Since Last Message				R	16
DD	221	Channel 29 Sec Since Last Message				R	16
DE	222	Channel 30 Sec Since Last Message				R	16
DF	223	Channel 31 Sec Since Last Message				R	16
E0	224	Channel 32 Sec Since Last Message				R	16
E1	225	Channel 1 Sensor Type				R	16
E2	226	Channel 2 Sensor Type				R	16
E3	227	Channel 3 Sensor Type				R	16
E4	228	Channel 4 Sensor Type				R	16
E5	229	Channel 5 Sensor Type				R	16
E6	230	Channel 6 Sensor Type				R	16
E7	231	Channel 7 Sensor Type				R	16
E8	232	Channel 8 Sensor Type				R	16
E9	233	Channel 9 Sensor Type				R	16
EA	234	Channel 10 Sensor Type				R	16
EB	235	Channel 11 Sensor Type				R	16
EC	236	Channel 12 Sensor Type				R	16
ED	237	Channel 13 Sensor Type				R	16
EE	238	Channel 14 Sensor Type				R	16
EF	239	Channel 15 Sensor Type				R	16
F0	240	Channel 16 Sensor Type				R	16
F1	241	Channel 17 Sensor Type				R	16
F2	242	Channel 18 Sensor Type				R	16
F3	243	Channel 19 Sensor Type				R	16
F4	244	Channel 20 Sensor Type				R	16
F5	245	Channel 21 Sensor Type				R	16
F6	246	Channel 22 Sensor Type				R	16
F7	247	Channel 23 Sensor Type				R	16
F8	248	Channel 24 Sensor Type				R	16
F9	249	Channel 25 Sensor Type				R	16
FA	250	Channel 26 Sensor Type				R	16
FB	251	Channel 27 Sensor Type				R	16
FC	252	Channel 28 Sensor Type				R	16
FD	253	Channel 29 Sensor Type				R	16
FE	254	Channel 30 Sensor Type				R	16
FF	255	Channel 31 Sensor Type				R	16
100	256	Channel 32 Sensor Type				R	16
101	257	Channel 1 Gas Type				R	16
102	258	Channel 2 Gas Type				R	16
103	259	Channel 3 Gas Type				R	16
104	260	Channel 4 Gas Type				R	16
105	261	Channel 5 Gas Type				R	16
106	262	Channel 6 Gas Type				R	16
107	263	Channel 7 Gas Type				R	16
108	264	Channel 8 Gas Type				R	16
109	265	Channel 9 Gas Type				R	16
10A	266	Channel 10 Gas Type				R	16
10B	267	Channel 11 Gas Type				R	16
10C	268	Channel 12 Gas Type				R	16
10D	269	Channel 13 Gas Type				R	16
10E	270	Channel 14 Gas Type				R	16
10F	271	Channel 15 Gas Type				R	16
110	272	Channel 16 Gas Type				R	16
111	273	Channel 17 Gas Type				R	16
112	274	Channel 18 Gas Type				R	16
113	275	Channel 19 Gas Type				R	16
114	276	Channel 20 Gas Type				R	16
115	277	Channel 21 Gas Type				R	16
116	278	Channel 22 Gas Type				R	16
117	279	Channel 23 Gas type				R	16
118	280	Channel 24 Gas Type				R	16
119	281	Channel 25 Gas Type				R	16
11A	282	Channel 26 Gas Type				R	16
11B	283	Channel 27 Gas Type				R	16
11C	284	Channel 28 Gas Type				R	16
11D	285	Channel 29 Gas Type				R	16
11E	286	Channel 30 Gas Type				R	16
11F	287	Channel 31 Gas Type				R	16
120	288	Channel 32 Gas Type				R	16
121	289	Channel 1 Fault				R	16
122	290	Channel 2 Fault				R	16
123	291	Channel 3 Fault				R	16
124	292	Channel 4 Fault				R	16
125	293	Channel 5 Fault				R	16
126	294	Channel 6 Fault				R	16
127	295	Channel 7 Fault				R	16
128	296	Channel 8 Fault				R	16
129	297	Channel 9 Fault				R	16
12A	298	Channel 10 Fault				R	16
12B	299	Channel 11 Fault				R	16
12C	300	Channel 12 Fault				R	16
12D	301	Channel 13 Fault				R	16
12E	302	Channel 14 Fault				R	16
12F	303	Channel 15 Fault				R	16
130	304	Channel 16 Fault				R	16
131	305	Channel 17 Fault				R	16
132	306	Channel 18 Fault				R	16
133	307	Channel 19 Fault				R	16
134	308	Channel 20 Fault				R	16
135	309	Channel 21 Fault				R	16
136	310	Channel 22 Fault				R	16
137	311	Channel 23 Fault				R	16
138	312	Channel 24 Fault				R	16
139	313	Channel 25 Fault				R	16
13A	314	Channel 26 Fault				R	16
13B	315	Channel 27 Fault				R	16
13C	316	Channel 28 Fault				R	16
13D	317	Channel 29 Fault				R	16
13E	318	Channel 30 Fault				R	16
13F	319	Channel 31 Fault				R	16
140	320	Channel 32 Fault				R	16
141	321	Channel 1 On/Off				R/W	16
142	322	Channel 2 On/Off				R/W	16
143	323	Channel 3 On/Off				R/W	16
144	324	Channel 4 On/Off				R/W	16
145	325	Channel 5 On/Off				R/W	16
146	326	Channel 6 On/Off				R/W	16
147	327	Channel 7 On/Off				R/W	16
148	328	Channel 8 On/Off				R/W	16
149	329	Channel 9 On/Off				R/W	16
14A	330	Channel 10 On/Off				R/W	16
14B	331	Channel 11 On/Off				R/W	16
14C	332	Channel 12 On/Off				R/W	16
14D	333	Channel 13 On/Off				R/W	16
14E	334	Channel 14 On/Off				R/W	16
14F	335	Channel 15 On/Off				R/W	16
150	336	Channel 16 On/Off				R/W	16
151	337	Channel 17 On/Off				R/W	16
152	338	Channel 18 On/Off				R/W	16
153	339	Channel 19 On/Off				R/W	16
154	340	Channel 20 On/Off				R/W	16
155	341	Channel 21 On/Off				R/W	16
156	342	Channel 22 On/Off				R/W	16
157	343	Channel 23 On/Off				R/W	16
158	344	Channel 24 On/Off				R/W	16
159	345	Channel 25 On/Off				R/W	16
15A	346	Channel 26 On/Off				R/W	16
15B	347	Channel 27 On/Off				R/W	16
15C	348	Channel 28 On/Off				R/W	16
15D	349	Channel 29 On/Off				R/W	16
15E	350	Channel 30 On/Off				R/W	16
15F	351	Channel 31 On/Off				R/W	16
160	352	Channel 32 On/Off				R/W	16
161	353	Channel 1 Relay 1 On/Off				R/W	16
162	354	Channel 2 Relay 1 On/Off				R/W	16
163	355	Channel 3 Relay 1 On/Off				R/W	16
164	356	Channel 4 Relay 1 On/Off				R/W	16
165	357	Channel 5 Relay 1 On/Off				R/W	16
166	358	Channel 6 Relay 1 On/Off				R/W	16
