Timestamp,Sensor_Address,Channel,Reading,Battery_V,Fault_Code
2026-01-05 17:12:07.213000,33041,1,0.00,0.80,0
2026-01-05 17:12:08.082000,33041,1,0.00,1.60,0
2026-01-05 17:12:23.881000,33041,1,0.00,0.80,0
2026-01-05 17:12:27.047000,33041,1,0.00,0.80,0
2026-01-05 17:12:29.108000,33041,1,0.00,0.80,0
2026-01-05 17:12:29.289000,33041,1,0.00,0.80,0
2026-01-05 17:12:31.849000,33041,1,0.00,0.80,0
2026-01-05 17:12:34.212000,33041,1,21.90,1.60,0
2026-01-05 17:12:39.841000,33041,1,0.00,1.60,0
2026-01-05 17:12:41.262000,33041,1,0.00,0.80,0
2026-01-05 17:12:41.985000,33041,1,0.00,0.80,0
2026-01-05 17:12:46.691000,33041,1,0.00,0.80,0
2026-01-05 17:12:52.733000,33041,1,1.00,1.60,0
2026-01-05 17:12:53.580000,33041,1,0.00,0.80,0
2026-01-05 17:13:00.924000,33041,1,0.00,0.80,0
2026-01-05 17:13:02.469000,33041,1,0.00,1.60,0
2026-01-05 17:13:06.421000,33041,1,0.00,1.60,0
2026-01-05 17:13:15.872000,33041,1,0.00,0.80,0
2026-01-05 17:13:17.560000,33041,1,1.00,0.80,0
2026-01-05 17:13:27.187000,33041,1,0.00,3.20,0
2026-01-05 17:13:28.978000,33041,1,0.00,0.80,0
2026-01-05 17:13:29.569000,33041,1,0.00,0.80,0
2026-01-05 17:13:29.789000,33041,1,0.00,0.80,0
2026-01-05 17:13:31.967000,33041,1,0.00,1.60,0
2026-01-05 17:13:33.976000,33041,1,21.90,1.60,0
2026-01-05 17:13:40.021000,33041,1,0.00,0.80,0
2026-01-05 17:13:47.341000,33041,1,0.00,0.80,0
2026-01-05 17:13:47.760000,33041,1,1.00,3.20,0
2026-01-05 17:13:49.561000,33041,1,0.00,0.80,0
2026-01-05 17:13:55.889000,33041,1,0.00,0.80,0
2026-01-05 17:13:58.485000,33041,1,0.00,0.80,0
2026-01-05 17:14:04.459000,33041,1,0.00,1.60,0
2026-01-05 17:14:09.970000,33041,1,1.00,1.60,0
2026-01-05 17:14:15.542000,33041,1,0.00,0.80,0
2026-01-05 17:14:25.834000,33041,1,0.00,0.80,0
2026-01-05 17:14:28.913000,33041,1,0.00,3.20,0
2026-01-05 17:14:29.155000,33041,1,0.00,0.80,0
2026-01-05 17:14:31.890000,33041,1,0.00,1.60,0
2026-01-05 17:14:33.585000,33041,1,21.90,0.80,0
2026-01-05 17:14:39.961000,33041,1,0.00,1.60,0
2026-01-05 17:14:42.489000,33041,1,0.00,0.80,0
2026-01-05 17:14:43.266000,33041,1,0.00,0.80,0
2026-01-05 17:14:48.053000,33041,1,0.00,3.20,0
2026-01-05 17:14:53.368000,33041,1,0.00,0.80,0
2026-01-05 17:15:03.424000,33041,1,0.00,0.80,0
2026-01-05 17:15:04.199000,33041,1,0.00,1.60,0
2026-01-05 17:15:15.702000,33041,1,0.00,0.80,0
2026-01-05 17:15:22.372000,33041,1,0.00,0.80,0
2026-01-05 17:15:27.286000,33041,1,0.00,0.80,0
2026-01-05 17:15:28.863000,33041,1,0.00,3.20,0
2026-01-05 17:15:29.397000,33041,1,0.00,0.80,0
2026-01-05 17:15:31.795000,33041,1,0.00,0.80,0
2026-01-05 17:15:33.698000,33041,1,21.90,1.60,0
2026-01-05 17:15:36.757000,33041,1,0.00,1.60,0
2026-01-05 17:15:36.882000,33041,1,2.00,0.80,0
2026-01-05 17:15:37.522000,33041,1,0.00,0.80,0
2026-01-05 17:15:37.680000,33041,1,0.00,0.80,0
2026-01-05 17:15:38.175000,33041,1,6.00,3.20,0
2026-01-05 17:15:40.285000,33041,1,0.00,0.80,0
2026-01-05 17:15:44.250000,33041,1,0.00,1.60,0
2026-01-05 17:15:48.554000,33041,1,0.00,0.80,0
2026-01-05 17:15:48.679000,33041,1,0.00,1.60,0
2026-01-05 17:15:58.491000,33041,1,1.00,0.80,0
2026-01-05 17:16:01.597000,33041,1,0.00,0.80,0
2026-01-05 17:16:15.705000,33041,1,0.00,3.20,0
2026-01-05 17:16:17.088000,33041,1,0.00,0.80,0
2026-01-05 17:16:27.333000,33041,1,0.00,1.60,0
2026-01-05 17:16:28.641000,33041,1,0.00,1.60,0
2026-01-05 17:16:29.231000,33041,1,0.00,0.80,0
2026-01-05 17:16:29.807000,33041,1,0.00,0.80,0
2026-01-05 17:16:31.714000,33041,1,0.00,3.20,0
2026-01-05 17:16:32.123000,33041,1,0.00,0.80,0
2026-01-05 17:16:33.645000,33041,1,21.90,0.80,0
2026-01-05 17:16:35.180000,33041,1,0.00,0.80,0
2026-01-05 17:16:35.717000,33041,1,0.00,1.60,0
2026-01-05 17:16:36.841000,33041,1,6.00,0.80,0
2026-01-05 17:16:38.961000,33041,1,0.00,1.60,0
2026-01-05 17:16:40.344000,33041,1,0.00,0.80,0
2026-01-05 17:16:43.262000,33041,1,0.00,3.20,0
2026-01-05 17:16:49.551000,33041,1,0.00,0.80,0
2026-01-05 17:16:53.144000,33041,1,0.00,0.80,0
2026-01-05 17:17:12.294000,33041,1,0.00,1.60,0
2026-01-05 17:17:15.874000,33041,1,0.00,0.80,0
2026-01-05 17:17:26.484000,33041,1,0.00,1.60,0
2026-01-05 17:17:27.418000,33041,1,0.00,3.20,0
2026-01-05 17:17:28.471000,33041,1,0.00,0.80,0
2026-01-05 17:17:29.939000,33041,1,0.00,0.80,0
2026-01-05 17:17:31.775000,33041,1,0.00,0.80,0
2026-01-05 17:17:32.645000,33041,1,0.00,1.60,0
2026-01-05 17:17:33.379000,33041,1,21.90,1.60,0
2026-01-05 17:17:34.702000,33041,1,0.00,1.60,0
2026-01-05 17:17:35.292000,33041,1,6.00,1.60,0
2026-01-05 17:17:41.539000,33041,1,0.00,0.80,0
2026-01-05 17:17:50.148000,33041,1,0.00,0.80,0
2026-01-05 17:18:00.483000,33041,1,0.00,0.80,0
2026-01-05 17:18:15.975000,33041,1,0.00,0.80,0
2026-01-05 17:18:20.974000,33041,1,0.00,3.20,0
2026-01-05 17:18:27.103000,33041,1,0.00,1.60,0
2026-01-05 17:18:27.533000,33041,1,0.00,0.80,0
2026-01-05 17:18:28.761000,33041,1,0.00,0.80,0
2026-01-05 17:18:29.655000,33041,1,0.00,1.60,0
2026-01-05 17:18:31.578000,33041,1,0.00,0.80,0
2026-01-05 17:18:32.934000,33041,1,0.00,3.20,0
2026-01-05 17:18:34.163000,33041,1,0.00,0.80,0
2026-01-05 17:18:34.825000,33041,1,6.00,1.60,0
2026-01-05 17:18:35.684000,33041,1,0.00,0.80,0
2026-01-05 17:18:40.305000,33041,1,0.00,0.80,0
2026-01-05 17:18:40.914000,33041,1,0.00,1.60,0
2026-01-05 17:18:50.544000,33041,1,0.00,0.80,0
2026-01-05 17:18:59.265000,33041,1,0.00,0.80,0
2026-01-05 17:19:02.824000,33041,1,0.00,0.80,0
2026-01-05 17:19:13.761000,33041,1,1.00,3.20,0
2026-01-05 17:19:16.058000,33041,1,0.00,1.60,0
2026-01-05 17:19:27.701000,33041,1,0.00,0.80,0
2026-01-05 17:19:28.580000,33041,1,0.00,0.80,0
2026-01-05 17:19:29.683000,33041,1,0.00,0.80,0
2026-01-05 17:19:31.609000,33041,1,0.00,1.60,0
